"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Carmarthenshire 003A ",26,26,13,16,23,26,28,25,8,17,14,11,12,15,18,16
"Carmarthenshire 003B ",27,26,16,26,28,23,31,23,13,13,21,18,13,17,43,21
"Carmarthenshire 003C ",16,18,9,14,6,17,20,27,5,5,9,9,8,11,18,11
"Carmarthenshire 003D ",15,13,6,11,18,12,14,7,5,10,6,6,4,9,15,9
"Carmarthenshire 007A ",29,30,18,24,47,25,18,34,20,18,12,19,16,25,22,21
"Carmarthenshire 007B ",37,38,23,20,36,29,48,41,24,23,31,20,13,21,20,27
"Carmarthenshire 007C ",29,29,16,16,43,23,26,29,16,19,17,11,12,13,19,18
"Carmarthenshire 007D ",7,8,4,3,4,5,10,14,2,8,1,6,1,1,4,4
"Carmarthenshire 008A ",21,21,18,22,26,19,18,25,8,18,20,25,22,26,19,19
"Carmarthenshire 008B ",14,15,7,11,23,8,12,19,6,10,10,5,3,7,13,9
"Carmarthenshire 008C ",18,20,11,19,33,15,11,27,15,13,5,7,14,18,22,15
"Carmarthenshire 008D ",12,10,5,5,14,9,11,3,4,6,7,3,5,2,9,6
"Carmarthenshire 027E ",21,21,11,17,17,18,26,21,10,11,15,8,10,14,20,14
"Carmarthenshire 027F ",20,19,9,14,32,13,16,12,13,8,11,11,4,12,16,12
"Carmarthenshire 027A ",8,9,6,12,3,8,12,13,9,5,4,8,3,8,18,8
"Carmarthenshire 027G ",11,11,7,12,12,10,11,13,6,6,8,7,6,6,20,9
"Carmarthenshire 027B ",14,16,10,16,14,17,10,32,13,10,9,12,7,12,20,12
"Carmarthenshire 027C ",14,14,8,15,12,19,11,17,13,4,7,8,8,14,16,11
"Carmarthenshire 027D ",15,15,8,14,18,12,15,15,10,8,6,8,7,14,15,11
"Carmarthenshire 001A ",21,22,14,10,27,14,24,23,23,10,15,13,13,10,11,15
"Carmarthenshire 001B ",14,14,8,12,9,19,13,15,5,5,14,7,6,6,22,10
"Carmarthenshire 001C ",13,13,10,14,7,15,15,17,11,13,9,11,7,9,18,11
"Carmarthenshire 001D ",20,20,11,25,23,22,14,19,9,13,7,6,17,20,33,16
"Carmarthenshire 002A ",19,18,9,6,19,26,15,15,4,13,9,11,6,5,7,10
"Carmarthenshire 002B ",16,17,8,13,5,31,18,21,3,8,9,9,6,9,22,10
"Carmarthenshire 002C ",20,17,8,20,12,14,38,5,3,10,10,10,7,15,26,14
"Carmarthenshire 002D ",31,27,10,19,28,33,32,13,6,9,17,11,6,17,23,15
"Carmarthenshire 004A ",12,10,5,7,16,10,11,4,6,8,9,7,1,5,10,7
"Carmarthenshire 004B ",23,23,17,25,23,20,25,30,12,19,14,15,17,17,31,20
"Carmarthenshire 004C ",19,19,9,9,23,19,17,15,9,10,15,8,4,6,13,10
"Carmarthenshire 004D ",13,12,7,12,20,10,11,8,13,8,10,6,5,9,16,9
"Carmarthenshire 005A ",12,10,6,11,13,5,17,6,3,7,5,7,5,7,16,8
"Carmarthenshire 005B ",16,16,7,8,7,19,18,14,10,10,8,7,3,7,10,9
"Carmarthenshire 005C ",20,22,10,15,14,21,22,31,4,6,8,14,8,13,18,13
"Carmarthenshire 005D ",18,17,7,9,19,15,19,15,8,8,7,6,6,6,15,9
"Carmarthenshire 006A ",24,23,13,17,24,25,22,16,13,15,15,8,11,14,20,16
"Carmarthenshire 006B ",20,17,6,10,37,14,16,6,3,13,9,4,6,9,10,9
"Carmarthenshire 006C ",13,13,10,12,11,10,18,12,6,10,7,14,10,10,13,11
"Carmarthenshire 006D ",14,14,6,11,8,18,15,13,3,7,9,7,4,9,16,9
"Carmarthenshire 006E ",10,8,4,12,11,9,9,3,6,4,8,3,3,8,16,7
"Carmarthenshire 010A ",36,36,18,17,39,52,22,36,15,25,18,15,13,14,20,22
"Carmarthenshire 010B ",41,36,17,24,52,50,27,12,27,21,20,19,10,22,28,23
"Carmarthenshire 010C ",23,25,19,15,22,21,29,35,15,22,22,15,17,13,17,19
"Carmarthenshire 010D ",26,25,16,21,27,25,25,18,21,17,18,16,12,17,27,19
"Carmarthenshire 010E ",22,24,12,14,24,17,25,39,7,14,10,10,9,10,19,14
"Carmarthenshire 011A ",17,16,7,10,18,13,20,12,8,8,7,8,6,7,14,10
"Carmarthenshire 011B ",33,32,18,19,45,32,27,28,13,18,21,20,12,15,26,21
"Carmarthenshire 011C ",24,23,13,18,22,16,32,20,13,11,13,14,10,14,23,16
"Carmarthenshire 011D ",29,28,13,17,31,35,24,23,16,19,12,8,13,15,19,17
"Carmarthenshire 013A ",31,28,19,23,23,30,35,16,25,23,17,22,14,23,24,22
"Carmarthenshire 013B ",39,39,21,20,41,42,35,39,21,15,21,26,12,14,25,23
"Carmarthenshire 013C ",17,18,11,17,14,13,28,25,13,9,10,10,8,10,25,13
"Carmarthenshire 013D ",26,25,18,24,25,20,31,20,26,16,13,20,16,19,28,20
"Carmarthenshire 013E ",16,16,9,8,8,21,18,13,9,13,13,6,4,5,13,10
"Carmarthenshire 017A ",14,13,5,10,12,13,15,10,4,6,6,4,3,6,17,7
"Carmarthenshire 017B ",19,17,10,21,24,14,17,7,18,7,11,8,10,18,24,14
"Carmarthenshire 017C ",20,19,10,13,18,15,25,19,13,10,9,10,8,9,18,12
"Carmarthenshire 012A ",12,12,5,12,11,11,15,10,10,5,6,4,4,8,18,8
"Carmarthenshire 012B ",29,30,16,16,25,30,31,36,20,10,18,15,13,15,17,18
"Carmarthenshire 012C ",30,30,12,12,32,27,33,29,14,14,13,8,8,11,12,15
"Carmarthenshire 012D ",9,9,4,10,9,13,7,6,6,5,4,5,3,8,12,7
"Carmarthenshire 012E ",20,21,10,13,13,11,32,24,4,7,7,14,8,9,19,12
"Carmarthenshire 016A ",20,20,10,17,20,20,21,22,10,8,9,10,9,13,22,13
"Carmarthenshire 016B ",19,18,9,20,19,25,14,14,11,10,10,8,7,18,23,13
"Carmarthenshire 016C ",12,12,9,14,7,15,15,13,11,10,10,6,7,11,18,10
"Carmarthenshire 016D ",13,14,7,11,13,19,10,16,5,4,7,5,8,5,19,9
"Carmarthenshire 016E ",18,20,13,21,21,18,15,28,13,12,9,11,15,15,27,15
"Carmarthenshire 018A ",42,40,23,24,41,46,39,32,18,24,27,23,18,19,32,27
"Carmarthenshire 018B ",22,21,10,14,22,26,20,16,14,11,10,9,6,9,21,13
"Carmarthenshire 018C ",43,41,18,26,43,41,44,28,17,19,23,14,14,22,32,24
"Carmarthenshire 018D ",32,33,17,18,33,31,32,39,19,18,19,13,11,17,21,20
"Carmarthenshire 021A ",34,34,16,17,51,23,32,33,27,17,13,12,12,15,20,19
"Carmarthenshire 021B ",32,32,20,23,39,42,23,31,16,17,22,19,19,19,26,22
"Carmarthenshire 021C ",32,32,12,11,33,36,30,27,8,16,13,9,9,7,16,15
"Carmarthenshire 021D ",14,15,7,9,25,12,10,20,8,10,6,4,5,5,15,9
"Carmarthenshire 021E ",43,39,19,29,49,41,39,25,18,24,22,16,17,24,34,26
"Carmarthenshire 015A ",29,29,12,19,32,29,25,31,12,9,11,12,10,13,25,16
"Carmarthenshire 015B ",19,19,11,18,18,15,24,16,16,9,12,11,7,15,22,14
"Carmarthenshire 015C ",13,12,6,9,23,12,8,5,8,8,8,6,4,8,11,8
"Carmarthenshire 015D ",18,17,8,12,18,20,17,7,11,5,7,10,10,7,20,11
"Carmarthenshire 015E ",22,22,11,13,19,18,27,20,11,9,13,9,10,10,20,13
"Carmarthenshire 019A ",15,15,8,16,18,14,14,11,12,9,6,8,7,11,22,11
"Carmarthenshire 019B ",16,15,9,14,14,16,18,13,13,7,9,10,6,10,18,11
"Carmarthenshire 019C ",16,16,10,15,20,14,16,16,12,9,9,10,11,14,17,12
"Carmarthenshire 019D ",7,7,4,6,6,7,7,7,3,3,9,3,2,4,10,5
"Carmarthenshire 019E ",14,12,7,12,8,21,12,5,7,9,8,6,6,3,26,10
"Carmarthenshire 020A ",13,14,10,19,15,12,11,20,10,9,8,9,10,11,30,12
"Carmarthenshire 020B ",24,24,17,24,27,21,24,24,20,19,15,14,16,17,28,20
"Carmarthenshire 020C ",40,38,21,30,48,43,30,27,22,24,19,16,20,20,41,27
"Carmarthenshire 025A ",18,16,7,14,20,19,14,8,9,11,6,5,6,11,17,10
"Carmarthenshire 025B ",28,27,16,25,29,28,28,21,20,15,15,11,18,21,29,20
"Carmarthenshire 025C ",30,29,13,22,29,30,31,24,9,13,16,13,8,19,27,18
"Carmarthenshire 025D ",35,36,24,36,41,31,34,39,28,18,31,16,26,34,39,28
"Carmarthenshire 025E ",48,45,25,29,49,48,45,26,21,30,20,31,19,22,38,31
"Carmarthenshire 022A ",34,33,18,17,38,28,38,23,20,19,20,16,13,14,21,21
"Carmarthenshire 022B ",18,17,9,9,24,19,13,14,13,14,10,8,3,4,15,11
"Carmarthenshire 022C ",35,35,19,25,32,41,33,38,14,16,24,14,21,15,37,24
"Carmarthenshire 023A ",14,13,10,16,15,8,18,10,11,10,13,10,9,9,22,12
"Carmarthenshire 023B ",29,28,16,23,27,29,29,26,19,17,17,13,13,16,29,19
"Carmarthenshire 023C ",16,16,9,15,20,21,10,17,11,10,10,8,6,9,21,12
"Carmarthenshire 023F ",23,23,12,14,36,20,19,20,18,16,11,12,6,8,21,14
"Carmarthenshire 024A ",17,15,7,18,14,28,10,7,7,14,5,6,3,9,27,11
"Carmarthenshire 024B ",28,28,15,24,31,27,27,23,14,15,14,13,14,20,28,19
"Carmarthenshire 024C ",26,27,14,19,26,27,25,32,13,16,13,12,11,16,21,17
"Carmarthenshire 024D ",52,50,29,39,53,60,44,42,26,33,32,21,28,30,50,36
"Carmarthenshire 026A ",33,34,21,33,32,28,38,41,21,18,24,24,14,29,38,25
"Carmarthenshire 026B ",32,31,24,38,39,25,30,26,23,24,20,30,20,28,53,28
"Carmarthenshire 026D ",33,32,15,21,37,34,30,21,13,18,15,12,13,13,28,19
"Carmarthenshire 026E ",51,46,34,42,49,46,57,25,35,29,40,30,43,37,49,39
"Carmarthenshire 026F ",36,34,22,32,39,37,33,27,25,28,22,18,16,23,43,26
"Carmarthenshire 026G ",25,25,15,23,21,27,27,28,19,11,16,12,13,18,32,18
"Carmarthenshire 026H ",44,43,28,37,45,49,35,39,32,35,21,21,30,29,47,33
"Swansea 001A ",9,10,6,12,9,12,7,17,8,6,7,5,5,8,15,8
"Swansea 001B ",20,21,14,23,19,19,23,25,13,11,15,16,16,19,27,17
"Swansea 001C ",23,23,11,16,44,23,18,22,11,13,10,9,9,8,22,14
"Swansea 001D ",44,42,21,26,44,44,45,31,15,25,24,19,15,23,30,27
"Swansea 004A ",8,8,4,9,1,8,15,6,5,6,3,5,3,5,15,6
"Swansea 004B ",10,9,4,7,9,9,11,9,5,6,5,2,3,4,11,5
"Swansea 004C ",4,3,3,8,4,3,5,1,7,3,4,2,5,9,8,4
"Swansea 004D ",2,2,2,7,1,2,3,1,2,1,2,3,4,5,10,3
"Swansea 004E ",42,41,23,28,26,54,48,35,23,19,22,26,22,26,31,28
"Swansea 005A ",16,17,13,37,18,17,13,22,14,7,11,16,20,27,50,17
"Swansea 005B ",16,17,13,23,16,12,21,18,15,11,11,13,13,20,25,16
"Swansea 005C ",33,34,14,17,20,34,41,44,11,12,15,12,10,14,20,18
"Swansea 005D ",17,15,7,14,14,22,15,8,10,7,8,8,5,12,17,11
"Swansea 005E ",24,21,9,14,24,27,21,11,10,9,12,9,5,7,27,13
"Swansea 005F ",39,37,21,26,48,39,33,22,19,25,17,21,20,27,25,25
"Swansea 007A ",11,13,9,17,14,16,3,23,10,6,8,12,4,12,24,11
"Swansea 007B ",5,5,3,4,6,3,6,7,7,4,4,1,2,3,6,4
"Swansea 007C ",10,11,6,8,9,5,17,14,6,4,10,2,5,3,13,7
"Swansea 007D ",24,23,14,20,20,25,28,16,16,15,14,13,13,15,29,17
"Swansea 007E ",10,12,7,9,14,12,7,20,7,8,4,8,5,4,15,8
"Swansea 007F ",22,20,9,12,40,18,11,9,15,8,10,7,10,7,19,12
"Swansea 002A ",33,30,19,23,37,32,30,18,20,22,20,16,17,15,33,22
"Swansea 002B ",9,8,5,7,5,10,11,6,6,5,6,3,4,4,11,6
"Swansea 002C ",51,50,23,28,48,48,57,45,31,22,21,25,14,23,34,30
"Swansea 002D ",30,31,18,22,51,25,21,38,20,17,20,14,13,20,26,21
"Swansea 002E ",20,18,15,19,16,25,20,11,17,17,14,14,16,18,20,17
"Swansea 002F ",22,21,8,13,23,30,16,13,5,13,8,7,7,9,20,12
"Swansea 003A ",23,23,12,17,27,26,17,24,17,8,9,13,9,9,30,15
"Swansea 003B ",10,11,5,7,3,23,8,17,8,6,4,4,3,5,10,6
"Swansea 003C ",15,13,10,11,10,22,13,7,17,16,8,6,11,8,14,11
"Swansea 003D ",64,57,31,40,89,53,54,23,42,31,28,27,33,35,46,39
"Swansea 003E ",9,9,6,9,10,12,7,8,12,10,7,4,4,7,12,7
"Swansea 003F ",8,9,6,11,13,6,7,15,9,9,4,4,4,12,9,7
"Swansea 008A ",22,22,16,21,20,23,22,23,21,16,10,15,17,19,24,18
"Swansea 008B ",30,30,22,22,36,23,30,31,30,18,19,25,18,17,29,24
"Swansea 008C ",44,42,26,36,43,40,49,30,25,23,27,24,32,40,32,31
"Swansea 008D ",19,19,8,11,14,25,18,22,7,9,8,11,4,8,15,11
"Swansea 008E ",31,31,23,33,41,25,25,31,24,20,25,22,26,24,42,26
"Swansea 006A ",8,10,7,9,8,4,10,26,6,6,7,4,10,4,15,8
"Swansea 006B ",10,10,5,15,8,12,11,12,8,5,4,8,3,10,27,7
"Swansea 006C ",11,12,5,10,25,3,9,17,5,8,4,3,3,6,16,7
"Swansea 006D ",48,47,25,31,47,50,46,40,21,27,28,23,20,25,41,31
"Swansea 010A ",16,18,10,16,18,16,15,32,11,9,8,7,10,13,21,12
"Swansea 010B ",9,9,7,15,11,9,9,10,3,7,6,9,8,8,25,9
"Swansea 010C ",17,19,11,11,19,14,17,33,17,8,6,13,7,7,15,11
"Swansea 010D ",44,43,22,39,50,41,41,37,21,21,21,18,27,39,39,30
"Swansea 014A ",45,44,31,39,49,40,46,38,26,34,30,35,24,36,44,35
"Swansea 014B ",51,46,18,33,48,59,49,23,13,14,19,23,24,36,28,25
"Swansea 014C ",15,19,10,20,13,11,19,34,15,4,12,10,5,11,25,14
"Swansea 014D ",40,39,20,36,51,41,32,29,15,24,16,22,20,26,47,28
"Swansea 021A ",45,43,21,32,56,50,32,28,17,17,31,18,21,28,36,28
"Swansea 021B ",35,35,16,31,31,34,42,33,13,11,20,15,20,23,43,21
"Swansea 021C ",28,29,14,22,27,39,19,32,16,9,21,15,12,18,29,18
"Swansea 021D ",29,28,15,18,42,25,22,25,12,18,16,13,15,14,25,18
"Swansea 009A ",58,58,36,37,68,61,47,59,35,34,36,31,38,37,37,41
"Swansea 009B ",45,41,19,20,55,37,42,27,24,21,20,17,15,13,31,24
"Swansea 009C ",13,13,7,7,11,13,14,14,6,6,10,6,5,5,10,8
"Swansea 009D ",17,16,11,16,16,21,15,15,10,13,10,12,6,11,23,13
"Swansea 009E ",28,27,15,21,33,25,28,21,15,14,14,17,13,17,26,19
"Swansea 009F ",31,30,10,13,26,28,41,24,13,10,17,8,3,9,18,13
"Swansea 015A ",36,33,15,23,31,39,38,19,17,15,19,11,11,18,30,20
"Swansea 015B ",25,25,12,29,22,28,24,26,11,14,11,10,11,25,34,17
"Swansea 015C ",33,31,15,22,46,31,24,17,19,15,19,11,11,15,29,19
"Swansea 015D ",21,20,11,15,25,18,21,14,13,14,14,7,10,10,21,14
"Swansea 015E ",27,27,21,33,32,35,14,23,24,13,25,20,25,27,37,25
"Swansea 016A ",48,49,37,44,64,42,40,55,30,37,34,44,31,39,50,40
"Swansea 016B ",47,46,23,28,44,50,53,29,16,20,33,24,23,25,32,27
"Swansea 016C ",46,45,19,22,45,50,43,38,23,18,21,19,12,15,33,24
"Swansea 016D ",41,41,25,27,51,39,34,43,18,26,27,25,23,21,38,28
"Swansea 016E ",39,37,22,34,30,44,46,31,14,21,26,28,19,28,44,27
"Swansea 016F ",39,39,21,25,34,28,53,39,7,18,24,27,26,21,29,24
"Swansea 011A ",53,51,34,54,46,52,62,40,27,33,38,36,32,49,60,41
"Swansea 011B ",58,53,36,49,53,60,60,33,32,40,42,31,34,40,64,43
"Swansea 011C ",49,50,34,41,64,46,38,52,32,32,34,34,34,44,37,39
"Swansea 011D ",53,50,26,38,53,62,48,38,24,25,27,26,23,33,46,35
"Swansea 011E ",40,40,24,37,47,33,42,35,31,21,20,26,25,40,31,30
"Swansea 013A ",27,27,15,25,33,30,18,26,17,13,13,14,13,25,26,18
"Swansea 013B ",37,35,14,20,35,36,38,25,18,12,16,11,14,13,31,20
"Swansea 013C ",52,49,25,31,61,48,50,40,17,25,28,23,24,31,32,32
"Swansea 013D ",46,45,30,32,52,45,38,37,32,29,28,31,29,29,36,34
"Swansea 013E ",35,36,25,36,32,34,39,37,18,25,24,27,22,39,34,29
"Swansea 017A ",23,25,15,23,29,19,21,37,15,14,14,16,11,17,28,18
"Swansea 017B ",23,25,25,29,23,19,28,34,27,20,18,32,25,27,32,25
"Swansea 017C ",31,29,15,21,35,19,41,23,14,13,14,17,13,15,27,19
"Swansea 017D ",21,20,12,12,24,16,22,18,16,10,12,12,10,7,16,14
"Swansea 022A ",8,8,5,11,9,10,6,7,4,7,5,5,4,8,15,7
"Swansea 022B ",9,8,4,6,4,11,12,8,1,6,6,4,3,4,10,5
"Swansea 022C ",8,8,5,9,6,9,8,7,8,5,5,5,4,9,9,7
"Swansea 022D ",28,28,26,38,45,19,27,26,15,23,22,29,34,38,38,29
"Swansea 022E ",15,17,14,31,10,19,16,23,9,11,14,14,18,27,34,20
"Swansea 012A ",11,11,7,16,9,15,9,12,8,8,4,11,6,7,23,10
"Swansea 012B ",14,13,6,13,22,13,11,9,8,6,5,5,5,10,17,9
"Swansea 012C ",19,16,9,12,33,14,14,8,12,11,8,7,7,9,16,11
"Swansea 012D ",18,16,11,20,14,25,14,10,13,13,10,12,9,15,28,14
"Swansea 018A ",12,12,6,9,14,10,14,11,4,7,10,6,4,6,14,8
"Swansea 018B ",4,4,4,8,0,1,9,6,3,5,4,3,5,3,14,5
"Swansea 018C ",22,21,10,14,26,26,14,17,9,11,10,9,11,15,12,13
"Swansea 020A ",19,18,9,12,23,17,15,15,9,12,10,5,9,10,16,11
"Swansea 020B ",6,6,6,9,2,3,9,9,6,7,9,4,4,6,14,7
"Swansea 020C ",9,9,5,7,10,9,8,7,4,4,6,5,5,3,13,6
"Swansea 020D ",14,15,9,11,5,28,12,19,9,9,11,7,8,6,18,11
"Swansea 023B ",7,8,4,5,8,3,9,9,9,4,4,3,4,3,6,5
"Swansea 023C ",5,7,6,14,2,6,7,23,6,6,4,6,4,11,16,8
"Swansea 023E ",10,7,2,11,9,16,9,2,0,7,4,4,4,8,14,4
"Swansea 030A ",4,4,3,10,4,2,4,7,3,2,3,2,4,7,13,5
"Swansea 030B ",8,7,4,6,10,6,9,4,7,7,4,3,2,3,10,5
"Swansea 030C ",5,5,5,11,3,2,9,5,9,2,5,3,7,9,12,7
"Swansea 030D ",7,8,5,5,8,7,7,10,2,8,6,4,2,4,6,5
"Swansea 019A ",56,54,38,53,58,58,49,45,47,38,35,35,38,51,58,45
"Swansea 019B ",53,54,38,51,56,46,58,62,35,42,30,33,49,47,55,44
"Swansea 019C ",54,54,38,46,62,52,47,52,43,37,41,28,35,39,56,43
"Swansea 019D ",44,41,22,36,62,33,40,25,19,23,19,27,14,28,44,29
"Swansea 019E ",61,60,32,43,55,52,79,53,28,35,34,22,34,37,49,41
"Swansea 019F ",49,50,32,46,61,51,36,58,22,33,29,31,37,44,49,39
"Swansea 024A ",40,35,14,36,40,41,38,23,4,15,21,29,37,24,43,19
"Swansea 024B ",5,4,3,11,9,4,2,2,2,5,3,4,3,10,12,5
"Swansea 024C ",20,18,14,17,23,23,15,9,7,16,20,20,9,12,21,15
"Swansea 024D ",7,7,5,18,4,11,7,5,2,5,8,11,10,13,25,7
"Swansea 024E ",5,7,5,12,4,2,8,23,1,2,4,6,5,6,18,6
"Swansea 024F ",17,14,4,14,38,11,12,7,1,10,6,10,15,14,14,6
"Swansea 025B ",38,37,18,51,34,42,39,36,6,17,29,31,27,43,65,23
"Swansea 025C ",49,44,18,22,46,61,43,24,8,19,24,27,22,22,23,22
"Swansea 025E ",2,2,6,19,3,0,0,2,1,2,8,25,13,18,21,8
"Swansea 025F ",28,40,36,64,29,31,21,63,18,18,33,56,65,61,66,41
"Swansea 025G ",43,39,12,33,42,42,45,24,4,8,16,18,27,25,41,18
"Swansea 025H ",4,4,7,38,3,5,0,3,1,3,7,16,24,36,39,11
"Swansea 026A ",22,21,13,28,14,20,33,19,3,12,17,24,21,28,28,18
"Swansea 026B ",46,40,12,27,39,38,55,29,2,11,33,27,31,22,37,16
"Swansea 026C ",23,18,5,25,14,26,28,10,1,6,20,20,14,26,23,7
"Swansea 026D ",17,14,6,30,33,19,8,9,1,8,11,24,22,28,32,9
"Swansea 026E ",11,12,3,19,11,8,15,13,0,4,8,9,9,13,26,4
"Swansea 027A ",3,2,3,12,4,3,2,0,2,1,5,4,5,8,17,5
"Swansea 027B ",3,7,9,5,6,0,4,23,6,8,7,14,6,4,7,7
"Swansea 027C ",3,4,3,4,2,10,0,5,2,5,3,4,0,3,5,3
"Swansea 027D ",1,1,1,14,3,0,0,2,0,3,2,6,5,12,15,3
"Swansea 028A ",6,6,4,4,8,3,7,7,9,9,2,3,3,3,5,4
"Swansea 028B ",10,10,5,8,10,8,11,10,11,4,5,6,3,5,10,7
"Swansea 028C ",3,4,3,9,2,5,1,10,3,5,1,3,2,8,9,5
"Swansea 028D ",4,4,3,4,5,2,4,4,4,2,3,2,2,1,9,3
"Swansea 029A ",5,4,4,7,4,4,5,4,1,5,5,3,3,4,10,5
"Swansea 029B ",10,11,6,7,5,18,9,18,3,8,4,7,4,2,12,7
"Swansea 029C ",27,29,25,28,46,20,23,37,10,22,19,32,29,27,28,26
"Swansea 029D ",35,35,21,21,30,37,39,34,18,21,24,20,17,16,26,24
"Swansea 031A ",3,4,2,5,0,2,5,7,2,4,0,3,2,2,7,3
"Swansea 031B ",8,7,7,7,8,6,9,4,8,5,7,10,7,4,10,7
"Swansea 031C ",7,8,5,14,7,8,6,14,6,4,4,7,4,9,18,7
"Swansea 031D ",7,7,5,5,2,3,13,6,8,6,4,6,2,3,7,5
"Swansea 031E ",12,11,3,6,16,10,11,3,3,3,5,3,3,3,10,5
"Neath Port Talbot 003A ",37,35,15,20,38,37,37,21,14,22,15,12,11,13,30,20
"Neath Port Talbot 003B ",37,34,19,29,45,39,29,20,20,20,23,15,15,30,29,24
"Neath Port Talbot 003C ",23,22,12,17,24,19,25,18,12,15,12,12,8,14,21,15
"Neath Port Talbot 005A ",24,26,15,21,27,21,24,40,17,16,12,13,10,18,24,17
"Neath Port Talbot 005B ",31,31,17,21,27,38,29,32,15,18,18,18,13,18,25,20
"Neath Port Talbot 005C ",26,23,9,13,31,40,14,10,10,13,8,9,7,7,20,13
"Neath Port Talbot 005D ",23,23,12,20,16,26,26,26,15,13,8,11,11,13,24,16
"Neath Port Talbot 006A ",10,10,8,10,16,5,9,13,9,8,8,9,3,8,15,9
"Neath Port Talbot 006B ",5,4,4,4,5,0,7,3,9,7,3,2,2,3,6,4
"Neath Port Talbot 006C ",5,5,5,6,5,7,3,5,8,5,3,4,6,5,9,5
"Neath Port Talbot 006D ",17,18,12,18,26,20,10,20,12,11,13,10,12,12,27,14
"Neath Port Talbot 006E ",8,10,7,11,9,7,8,15,5,4,5,4,11,10,13,8
"Neath Port Talbot 007A ",26,26,9,8,28,34,20,25,6,21,12,1,7,5,13,10
"Neath Port Talbot 007B ",29,29,20,27,28,24,33,28,19,18,18,21,20,17,37,23
"Neath Port Talbot 007C ",23,25,18,27,32,32,12,30,18,15,18,20,16,22,34,21
"Neath Port Talbot 007D ",9,9,7,10,8,11,7,9,10,7,7,4,7,10,10,8
"Neath Port Talbot 009A ",27,24,14,18,23,29,27,15,24,21,7,15,11,8,31,17
"Neath Port Talbot 009B ",9,9,5,11,13,11,5,9,8,4,7,5,2,8,16,7
"Neath Port Talbot 009C ",9,8,5,7,3,12,9,3,6,7,6,6,2,4,16,6
"Neath Port Talbot 009D ",12,9,4,12,17,17,5,2,6,5,7,3,3,6,22,7
"Neath Port Talbot 008A ",46,44,27,34,57,37,45,33,36,27,18,27,28,31,37,31
"Neath Port Talbot 008B ",43,43,30,30,38,32,67,41,29,29,31,28,29,29,31,32
"Neath Port Talbot 008C ",11,11,7,16,25,7,9,7,10,9,8,5,7,10,20,11
"Neath Port Talbot 008D ",36,37,32,38,27,37,42,42,31,26,33,29,37,33,44,34
"Neath Port Talbot 008E ",44,43,25,32,46,36,49,36,27,30,24,25,19,25,41,30
"Neath Port Talbot 010A ",24,23,17,29,30,16,24,19,20,15,9,22,19,29,30,21
"Neath Port Talbot 010B ",23,21,13,17,20,26,24,15,12,12,11,16,13,13,20,15
"Neath Port Talbot 010C ",42,42,24,31,40,46,42,41,25,22,28,21,15,31,30,29
"Neath Port Talbot 010D ",17,21,11,15,17,20,15,38,14,10,7,11,6,12,21,13
"Neath Port Talbot 010E ",13,13,8,17,9,15,14,14,10,7,10,6,8,15,20,11
"Neath Port Talbot 010F ",15,14,7,11,16,13,16,8,13,7,8,6,5,8,17,9
"Neath Port Talbot 012A ",50,49,25,26,65,45,44,46,31,22,29,21,20,19,36,30
"Neath Port Talbot 012B ",40,39,24,25,43,43,36,31,25,31,26,18,22,16,36,28
"Neath Port Talbot 012C ",38,38,25,32,41,33,40,39,25,21,27,24,24,30,34,29
"Neath Port Talbot 012D ",10,9,5,6,12,10,8,5,7,9,3,4,3,3,10,6
"Neath Port Talbot 013A ",18,18,13,20,19,12,22,17,15,14,18,10,11,16,25,16
"Neath Port Talbot 013B ",31,32,24,34,52,23,22,36,28,17,17,24,32,25,47,27
"Neath Port Talbot 013C ",53,55,33,40,46,53,60,68,30,31,40,27,28,28,52,39
"Neath Port Talbot 013D ",41,36,18,19,58,42,30,15,31,14,24,21,12,15,25,22
"Neath Port Talbot 013E ",26,27,20,34,31,21,29,32,21,19,17,23,16,31,38,23
"Neath Port Talbot 015A ",12,14,11,7,15,6,16,22,18,13,9,9,8,6,9,10
"Neath Port Talbot 015B ",4,4,3,5,2,3,6,5,4,5,3,2,3,5,5,4
"Neath Port Talbot 015C ",20,21,14,27,27,15,20,26,17,14,14,14,12,20,32,18
"Neath Port Talbot 015D ",21,21,9,10,23,17,22,21,10,9,6,8,9,8,13,11
"Neath Port Talbot 016A ",4,4,4,12,0,6,5,4,6,2,3,4,3,8,17,6
"Neath Port Talbot 016B ",52,52,29,33,46,47,60,55,27,24,30,30,27,37,28,35
"Neath Port Talbot 016C ",39,38,20,30,40,38,38,35,20,19,18,21,19,23,35,26
"Neath Port Talbot 016D ",48,47,31,36,43,53,46,44,30,32,27,37,25,36,37,36
"Neath Port Talbot 016E ",52,52,25,39,46,52,59,51,18,22,28,28,22,34,43,34
"Neath Port Talbot 016F ",56,49,23,36,71,51,47,25,19,20,31,20,23,33,38,31
